ESCOURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,DESCRIPTION
http://data.europa.eu/esco/isced-f/0715,key_17654,ad0bddf0-6e81-4354-afad-bbf78717c408,,"strojírenství, kovovýroba a metalurgie",
http://data.europa.eu/esco/isced-f/0716,key_17655,d8151d4a-b519-4972-aba5-c9470e8e0f4b,,"motorová vozidla, lodě a letadla",
http://data.europa.eu/esco/isced-f/0719,key_17656,d6a5071c-673e-4143-83de-4ce5a081d92f,,technické vědy a technické obory jinde neklasifikované,
http://data.europa.eu/esco/isced-f/072,key_17657,152c2968-7813-4fe8-a5c0-5c364bc601af,,výroba a zpracování,
http://data.europa.eu/esco/isced-f/0720,key_17658,e83f8372-e5b7-4fe8-b491-eadf672f4d07,,výroba a zpracování dále nedefinované,
http://data.europa.eu/esco/isced-f/0721,key_17659,b8f408db-546b-439b-aebc-ecfff0f63cef,,potravinářství,
http://data.europa.eu/esco/isced-f/0722,key_17660,a1f92ee6-bf66-41fa-af98-208e8fab9da6,,"výroba a zpracování materiálů (sklo, papír, plasty a dřevo)",
http://data.europa.eu/esco/isced-f/0723,key_17661,e5c14f0a-a916-4024-84e1-ef92308b697f,,"výroba textilu (oděvů a obuvi, zpracování kůže)",
http://data.europa.eu/esco/isced-f/0724,key_17662,9f980c3f-0ee0-46d6-a2c3-1a81a434afa3,,hornictví a těžba,
http://data.europa.eu/esco/isced-f/0729,key_17663,65955792-f23f-49d1-bf56-a29b9ed1de64,,výroba a zpracování jinde neklasifikované,
http://data.europa.eu/esco/isced-f/073,key_17664,0547ec09-7853-4b63-8cb2-da66d072383e,,architektura a stavebnictví,
http://data.europa.eu/esco/isced-f/0730,key_17665,8710077d-9461-44c1-ad25-974d0165bdca,,architektura a stavebnictví dále nedefinované,
http://data.europa.eu/esco/isced-f/0731,key_17666,8b611d89-d757-4733-81d2-ab8f0486e43c,,architektura a urbanismus,
http://data.europa.eu/esco/isced-f/0732,key_17667,20ce8256-4ebe-4993-a20a-ceb14595ee18,,stavebnictví a inženýrské stavitelství,
http://data.europa.eu/esco/isced-f/078,key_17668,de596a36-46f4-4a4d-bad1-824936545f07,,"interdisciplinární programy a kvalifikace zahrnující technické vědy, výrobu a stavebnictví",
http://data.europa.eu/esco/isced-f/0788,key_17669,78220407-0d82-4520-8097-8c303b4c26f9,,"interdisciplinární programy a kvalifikace zahrnující technické vědy, výrobu a stavebnictví",
http://data.europa.eu/esco/isced-f/079,key_17670,d9c0434f-5738-4baf-b45e-75c7201a3ab7,,"technické vědy, výroba a stavebnictví jinde neklasifikované",
http://data.europa.eu/esco/isced-f/0799,key_17671,87650ad8-c3db-4ba1-b3d1-e5c7d4a866f8,,"technické vědy, výroba a stavebnictví jinde neklasifikované",
