ESCOURI,ID,UUIDHISTORY,PREFERREDLABEL,CODE
http://data.europa.eu/esco/isco/C2265,key_108,7dc2f45b-cfe1-419e-bd73-e57f7564b747,Specialisté v oblasti dietetiky a specialisté na výživu,2265
http://data.europa.eu/esco/isco/C2266,key_109,3db3ea2b-ad4d-486c-8424-e235f16b22cf,Specialisté v oblasti audiologie a klinické logopedie,2266
http://data.europa.eu/esco/isco/C2267,key_110,c2ab1038-8ee8-4276-83f8-694f97da5a0b,Specialisté v oblasti optiky a optometrie,2267
http://data.europa.eu/esco/isco/C2269,key_111,b9fb24b9-9cb9-4a2d-ab4a-c9f43f54d4a3,Specialisté v oblasti zdravotnictví jinde neuvedení,2269
http://data.europa.eu/esco/isco/C23,key_112,ddf5d5cb-8f38-4580-a236-6861c1d6be58,Specialisté v oblasti výchovy a vzdělávání,23
http://data.europa.eu/esco/isco/C231,key_113,6f8e7af7-be20-4320-9875-577308c1c05a,Učitelé na vysokých a vyšších odborných školách,231
http://data.europa.eu/esco/isco/C2310,key_114,7377be5a-5154-4a4b-ab45-c5e8875aa9f5,Učitelé na vysokých a vyšších odborných školách,2310
http://data.europa.eu/esco/isco/C232,key_115,d3ce6cb9-01ed-407a-b989-7e2585680212,Lektoři dalšího vzdělávání,232
http://data.europa.eu/esco/isco/C2320,key_116,f8126570-ac16-4f73-888a-6983ee4ceb78,Lektoři dalšího vzdělávání,2320
http://data.europa.eu/esco/isco/C233,key_117,47faea10-08ef-4611-be4d-b25dd64608c5,Učitelé na středních školách,233
http://data.europa.eu/esco/isco/C2330,key_118,9991f5ad-d884-4e4b-bb89-c26a44fcc0cd,Učitelé na středních školách,2330
http://data.europa.eu/esco/isco/C234,key_119,e8887f02-8639-4b41-a6bd-9e811308a3bc,Učitelé na základních školách a v oblasti předškolní výchovy,234
http://data.europa.eu/esco/isco/C2341,key_120,986ddb4c-d2ea-4ecd-85f3-de9fbeb09eff,Učitelé na základních školách,2341
http://data.europa.eu/esco/isco/C2342,key_121,3fcfede6-1ec8-4de0-aa93-bcaa9345917a,Učitelé v oblasti předškolní výchovy,2342
